title,overview
Avatar,A marine on an alien planet becomes torn between following his orders and protecting the world he feels is his home.
Titanic,A love story unfolds on the ill-fated RMS Titanic between a poor artist and a wealthy young woman.
Inception,A thief who steals corporate secrets through dream-sharing technology is given a chance to erase his past crimes.
Interstellar,A team of explorers travel through a wormhole in space to ensure humanity's survival.
The Dark Knight,Batman faces the Joker a criminal mastermind who plunges Gotham City into chaos.
Avengers Infinity War,The Avengers must stop Thanos from collecting powerful stones to destroy half of the universe.
Jurassic Park,Scientists bring dinosaurs back to life but lose control of the prehistoric creatures.
The Matrix,A hacker discovers reality is a simulation and joins a rebellion against intelligent machines.
Forrest Gump,A man with low intelligence witnesses and influences several historical events.
Gladiator,A former Roman general seeks revenge after being betrayed and losing his family.
